model,storage,carrier,condition,price
iPhoneSE,128GB,Sprint,Good,50.63
iPhoneSE,128GB,Sprint,Fair,41.75
iPhoneSE,128GB,Sprint,Broken,21.01
iPhoneSE,128GB,Other,New,43.14
iPhoneSE,128GB,Other,Like_new,37.1
iPhoneSE,128GB,Other,Good,34.51
iPhoneSE,128GB,Other,Fair,28.04
iPhoneSE,128GB,Other,Broken,12.95
iPhone6,16GB,Unlocked,New,35.08
iPhone6,16GB,Unlocked,Like_new,29.98
iPhone6,16GB,Unlocked,Good,27.79
iPhone6,16GB,Unlocked,Fair,22.33
iPhone6,16GB,Unlocked,Broken,9.59
iPhone6,16GB,Verizon,New,35.08
iPhone6,16GB,Verizon,Like_new,29.98
iPhone6,16GB,Verizon,Good,27.79
iPhone6,16GB,Verizon,Fair,22.33
iPhone6,16GB,Verizon,Broken,9.59
iPhone6,16GB,AT&T,New,33.42
iPhone6,16GB,AT&T,Like_new,28.51
iPhone6,16GB,AT&T,Good,26.41
iPhone6,16GB,AT&T,Fair,21.16
iPhone6,16GB,AT&T,Broken,8.9
iPhone6,16GB,T-Mobile,New,32.02
iPhone6,16GB,T-Mobile,Like_new,27.28
iPhone6,16GB,T-Mobile,Good,25.25
iPhone6,16GB,T-Mobile,Fair,20.17
iPhone6,16GB,T-Mobile,Broken,8.32
iPhone6,16GB,Sprint,New,30.4
iPhone6,16GB,Sprint,Like_new,25.85
iPhone6,16GB,Sprint,Good,23.9
iPhone6,16GB,Sprint,Fair,19.02
iPhone6,16GB,Sprint,Broken,7.64
iPhone6,16GB,Other,New,19.78
iPhone6,16GB,Other,Like_new,16.47
iPhone6,16GB,Other,Good,15.05
iPhone6,16GB,Other,Fair,11.51
iPhone6,16GB,Other,Broken,3.22
iPhone6,32GB,Unlocked,New,36.4
iPhone6,32GB,Unlocked,Like_new,31.15
iPhone6,32GB,Unlocked,Good,28.9
iPhone6,32GB,Unlocked,Fair,23.27
iPhone6,32GB,Unlocked,Broken,10.14
iPhone6,32GB,Verizon,New,36.4
iPhone6,32GB,Verizon,Like_new,31.15
iPhone6,32GB,Verizon,Good,28.9
iPhone6,32GB,Verizon,Fair,23.27
iPhone6,32GB,Verizon,Broken,10.14
iPhone6,32GB,AT&T,New,34.69
iPhone6,32GB,AT&T,Like_new,29.64
iPhone6,32GB,AT&T,Good,27.47
iPhone6,32GB,AT&T,Fair,22.06
iPhone6,32GB,AT&T,Broken,9.43
iPhone6,32GB,T-Mobile,New,33.25
iPhone6,32GB,T-Mobile,Like_new,28.36
iPhone6,32GB,T-Mobile,Good,26.27
iPhone6,32GB,T-Mobile,Fair,21.04
iPhone6,32GB,T-Mobile,Broken,8.83
iPhone6,32GB,Sprint,New,31.58
iPhone6,32GB,Sprint,Like_new,26.89
iPhone6,32GB,Sprint,Good,24.88
iPhone6,32GB,Sprint,Fair,19.86
iPhone6,32GB,Sprint,Broken,8.14
iPhone6,32GB,Other,New,20.65
iPhone6,32GB,Other,Like_new,17.23
iPhone6,32GB,Other,Good,15.77
iPhone6,32GB,Other,Fair,12.11
iPhone6,32GB,Other,Broken,3.58
iPhone6,64GB,Unlocked,New,40.39
iPhone6,64GB,Unlocked,Like_new,34.67
iPhone6,64GB,Unlocked,Good,32.22
iPhone6,64GB,Unlocked,Fair,26.1
iPhone6,64GB,Unlocked,Broken,11.8
iPhone6,64GB,Verizon,New,40.39
iPhone6,64GB,Verizon,Like_new,34.67
iPhone6,64GB,Verizon,Good,32.22
iPhone6,64GB,Verizon,Fair,26.1
iPhone6,64GB,Verizon,Broken,11.8
iPhone6,64GB,AT&T,New,38.53
iPhone6,64GB,AT&T,Like_new,33.02
iPhone6,64GB,AT&T,Good,30.67
iPhone6,64GB,AT&T,Fair,24.78
iPhone6,64GB,AT&T,Broken,11.03
iPhone6,64GB,T-Mobile,New,36.96
iPhone6,64GB,T-Mobile,Like_new,31.64
iPhone6,64GB,T-Mobile,Good,29.37
iPhone6,64GB,T-Mobile,Fair,23.67
iPhone6,64GB,T-Mobile,Broken,10.38
iPhone6,64GB,Sprint,New,35.15
iPhone6,64GB,Sprint,Like_new,30.04
iPhone6,64GB,Sprint,Good,27.85
iPhone6,64GB,Sprint,Fair,22.38
iPhone6,64GB,Sprint,Broken,9.62
iPhone6,64GB,Other,New,23.24
iPhone6,64GB,Other,Like_new,19.52
iPhone6,64GB,Other,Good,17.93
iPhone6,64GB,Other,Fair,13.95
iPhone6,64GB,Other,Broken,4.66
iPhone6,128GB,Unlocked,New,46.42
iPhone6,128GB,Unlocked,Like_new,40.0
iPhone6,128GB,Unlocked,Good,37.25
iPhone6,128GB,Unlocked,Fair,30.37
iPhone6,128GB,Unlocked,Broken,14.32
iPhone6,128GB,Verizon,New,46.42
iPhone6,128GB,Verizon,Like_new,40.0
iPhone6,128GB,Verizon,Good,37.25
iPhone6,128GB,Verizon,Fair,30.37
iPhone6,128GB,Verizon,Broken,14.32
iPhone6,128GB,AT&T,New,44.33
iPhone6,128GB,AT&T,Like_new,38.16
iPhone6,128GB,AT&T,Good,35.51
iPhone6,128GB,AT&T,Fair,28.89
iPhone6,128GB,AT&T,Broken,13.45
iPhone6,128GB,T-Mobile,New,42.57
iPhone6,128GB,T-Mobile,Like_new,36.6
iPhone6,128GB,T-Mobile,Good,34.04
iPhone6,128GB,T-Mobile,Fair,27.64
iPhone6,128GB,T-Mobile,Broken,12.72
iPhone6,128GB,Sprint,New,40.53
iPhone6,128GB,Sprint,Like_new,34.8
