model,storage,carrier,condition,price
iPhone6,16GB,Verizon,Broken,20.43
iPhone6,16GB,AT&T,New,76.18
iPhone6,16GB,AT&T,Like_new,55.16
iPhone6,16GB,AT&T,Good,52.53
iPhone6,16GB,AT&T,Poor,36.77
iPhone6,16GB,AT&T,Broken,18.39
iPhone6,16GB,T-Mobile,New,71.94
iPhone6,16GB,T-Mobile,Like_new,52.1
iPhone6,16GB,T-Mobile,Good,49.62
iPhone6,16GB,T-Mobile,Poor,34.73
iPhone6,16GB,T-Mobile,Broken,17.37
iPhone6,16GB,Sprint,New,71.94
iPhone6,16GB,Sprint,Like_new,52.1
iPhone6,16GB,Sprint,Good,49.62
iPhone6,16GB,Sprint,Poor,34.73
iPhone6,16GB,Sprint,Broken,17.37
iPhone6,16GB,Other,New,42.32
iPhone6,16GB,Other,Like_new,30.65
iPhone6,16GB,Other,Good,29.19
iPhone6,16GB,Other,Poor,20.43
iPhone6,16GB,Other,Broken,10.22
iPhone6,32GB,Unlocked,New,76.18
iPhone6,32GB,Unlocked,Like_new,55.16
iPhone6,32GB,Unlocked,Good,52.54
iPhone6,32GB,Unlocked,Poor,36.78
iPhone6,32GB,Unlocked,Broken,18.39
iPhone6,32GB,Verizon,New,76.18
iPhone6,32GB,Verizon,Like_new,55.16
iPhone6,32GB,Verizon,Good,52.54
iPhone6,32GB,Verizon,Poor,36.78
iPhone6,32GB,Verizon,Broken,18.39
iPhone6,32GB,AT&T,New,68.56
iPhone6,32GB,AT&T,Like_new,49.65
iPhone6,32GB,AT&T,Good,47.28
iPhone6,32GB,AT&T,Poor,33.1
iPhone6,32GB,AT&T,Broken,16.55
iPhone6,32GB,T-Mobile,New,64.75
iPhone6,32GB,T-Mobile,Like_new,46.89
iPhone6,32GB,T-Mobile,Good,44.66
iPhone6,32GB,T-Mobile,Poor,31.26
iPhone6,32GB,T-Mobile,Broken,15.63
iPhone6,32GB,Sprint,New,64.75
iPhone6,32GB,Sprint,Like_new,46.89
iPhone6,32GB,Sprint,Good,44.66
iPhone6,32GB,Sprint,Poor,31.26
iPhone6,32GB,Sprint,Broken,15.63
iPhone6,32GB,Other,New,38.09
iPhone6,32GB,Other,Like_new,27.58
iPhone6,32GB,Other,Good,26.27
iPhone6,32GB,Other,Poor,18.39
iPhone6,32GB,Other,Broken,9.19
iPhone6,64GB,Unlocked,New,93.17
iPhone6,64GB,Unlocked,Like_new,67.47
iPhone6,64GB,Unlocked,Good,64.25
iPhone6,64GB,Unlocked,Poor,44.98
iPhone6,64GB,Unlocked,Broken,22.49
iPhone6,64GB,Verizon,New,93.17
iPhone6,64GB,Verizon,Like_new,67.47
iPhone6,64GB,Verizon,Good,64.25
iPhone6,64GB,Verizon,Poor,44.98
iPhone6,64GB,Verizon,Broken,22.49
iPhone6,64GB,AT&T,New,83.85
iPhone6,64GB,AT&T,Like_new,60.72
iPhone6,64GB,AT&T,Good,57.83
iPhone6,64GB,AT&T,Poor,40.48
iPhone6,64GB,AT&T,Broken,20.24
iPhone6,64GB,T-Mobile,New,79.19
iPhone6,64GB,T-Mobile,Like_new,57.35
iPhone6,64GB,T-Mobile,Good,54.62
iPhone6,64GB,T-Mobile,Poor,38.23
iPhone6,64GB,T-Mobile,Broken,19.12
iPhone6,64GB,Sprint,New,79.19
iPhone6,64GB,Sprint,Like_new,57.35
iPhone6,64GB,Sprint,Good,54.62
iPhone6,64GB,Sprint,Poor,38.23
iPhone6,64GB,Sprint,Broken,19.12
iPhone6,64GB,Other,New,46.58
iPhone6,64GB,Other,Like_new,33.73
iPhone6,64GB,Other,Good,32.13
iPhone6,64GB,Other,Poor,22.49
iPhone6,64GB,Other,Broken,11.24
iPhone6,128GB,Unlocked,New,107.93
iPhone6,128GB,Unlocked,Like_new,78.15
iPhone6,128GB,Unlocked,Good,74.43
iPhone6,128GB,Unlocked,Poor,52.1
iPhone6,128GB,Unlocked,Broken,26.05
iPhone6,128GB,Verizon,New,107.93
iPhone6,128GB,Verizon,Like_new,78.15
iPhone6,128GB,Verizon,Good,74.43
iPhone6,128GB,Verizon,Poor,52.1
iPhone6,128GB,Verizon,Broken,26.05
iPhone6,128GB,AT&T,New,97.13
iPhone6,128GB,AT&T,Like_new,70.34
iPhone6,128GB,AT&T,Good,66.99
iPhone6,128GB,AT&T,Poor,46.89
iPhone6,128GB,AT&T,Broken,23.45
iPhone6,128GB,T-Mobile,New,91.74
iPhone6,128GB,T-Mobile,Like_new,66.43
iPhone6,128GB,T-Mobile,Good,63.27
iPhone6,128GB,T-Mobile,Poor,44.29
iPhone6,128GB,T-Mobile,Broken,22.14
iPhone6,128GB,Sprint,New,91.74
iPhone6,128GB,Sprint,Like_new,66.43
iPhone6,128GB,Sprint,Good,63.27
iPhone6,128GB,Sprint,Poor,44.29
iPhone6,128GB,Sprint,Broken,22.14
iPhone6,128GB,Other,New,53.96
iPhone6,128GB,Other,Like_new,39.08
iPhone6,128GB,Other,Good,37.22
iPhone6,128GB,Other,Poor,26.05
iPhone6,128GB,Other,Broken,13.03
iPhone6Plus,16GB,Unlocked,New,119.09
iPhone6Plus,16GB,Unlocked,Like_new,86.24
iPhone6Plus,16GB,Unlocked,Good,82.13
iPhone6Plus,16GB,Unlocked,Poor,57.49
iPhone6Plus,16GB,Unlocked,Broken,28.75
iPhone6Plus,16GB,Verizon,New,119.09
iPhone6Plus,16GB,Verizon,Like_new,86.24
iPhone6Plus,16GB,Verizon,Good,82.13
iPhone6Plus,16GB,Verizon,Poor,57.49
iPhone6Plus,16GB,Verizon,Broken,28.75
iPhone6Plus,16GB,AT&T,New,107.18
iPhone6Plus,16GB,AT&T,Like_new,77.62
iPhone6Plus,16GB,AT&T,Good,73.92
iPhone6Plus,16GB,AT&T,Poor,51.74
iPhone6Plus,16GB,AT&T,Broken,25.87
iPhone6Plus,16GB,T-Mobile,New,101.23
iPhone6Plus,16GB,T-Mobile,Like_new,73.3
iPhone6Plus,16GB,T-Mobile,Good,69.81
iPhone6Plus,16GB,T-Mobile,Poor,48.87
iPhone6Plus,16GB,T-Mobile,Broken,24.43
iPhone6Plus,16GB,Sprint,New,101.23
iPhone6Plus,16GB,Sprint,Like_new,73.3
iPhone6Plus,16GB,Sprint,Good,69.81
iPhone6Plus,16GB,Sprint,Poor,48.87
iPhone6Plus,16GB,Sprint,Broken,24.43
iPhone6Plus,16GB,Other,New,59.55
iPhone6Plus,16GB,Other,Like_new,43.12
iPhone6Plus,16GB,Other,Good,41.07
iPhone6Plus,16GB,Other,Poor,28.75
iPhone6Plus,16GB,Other,Broken,14.37
iPhone6Plus,32GB,Unlocked,New,111.64
iPhone6Plus,32GB,Unlocked,Like_new,80.84
iPhone6Plus,32GB,Unlocked,Good,76.99
iPhone6Plus,32GB,Unlocked,Poor,53.89
iPhone6Plus,32GB,Unlocked,Broken,26.95
iPhone6Plus,32GB,Verizon,New,111.64
iPhone6Plus,32GB,Verizon,Like_new,80.84
iPhone6Plus,32GB,Verizon,Good,76.99
iPhone6Plus,32GB,Verizon,Poor,53.89
iPhone6Plus,32GB,Verizon,Broken,26.95
iPhone6Plus,32GB,AT&T,New,100.48
iPhone6Plus,32GB,AT&T,Like_new,72.76
iPhone6Plus,32GB,AT&T,Good,69.29
iPhone6Plus,32GB,AT&T,Poor,48.51
iPhone6Plus,32GB,AT&T,Broken,24.25
iPhone6Plus,32GB,T-Mobile,New,94.89
iPhone6Plus,32GB,T-Mobile,Like_new,68.72
iPhone6Plus,32GB,T-Mobile,Good,65.44
iPhone6Plus,32GB,T-Mobile,Poor,45.81
iPhone6Plus,32GB,T-Mobile,Broken,22.91
iPhone6Plus,32GB,Sprint,New,94.89
iPhone6Plus,32GB,Sprint,Like_new,68.72
iPhone6Plus,32GB,Sprint,Good,65.44
iPhone6Plus,32GB,Sprint,Poor,45.81
iPhone6Plus,32GB,Sprint,Broken,22.91
iPhone6Plus,32GB,Other,New,55.82
iPhone6Plus,32GB,Other,Like_new,40.42
iPhone6Plus,32GB,Other,Good,38.5
iPhone6Plus,32GB,Other,Poor,26.95
iPhone6Plus,32GB,Other,Broken,13.47
iPhone6Plus,64GB,Unlocked,New,134.1
iPhone6Plus,64GB,Unlocked,Like_new,97.1
iPhone6Plus,64GB,Unlocked,Good,92.48
iPhone6Plus,64GB,Unlocked,Poor,64.74
iPhone6Plus,64GB,Unlocked,Broken,32.37
iPhone6Plus,64GB,Verizon,New,134.1
iPhone6Plus,64GB,Verizon,Like_new,97.1
iPhone6Plus,64GB,Verizon,Good,92.48
