model,storage,carrier,condition,price
iPhone6,16GB,Verizon,Broken,28.77
iPhone6,16GB,AT&T,New,69.19
iPhone6,16GB,AT&T,Like_new,58.67
iPhone6,16GB,AT&T,Good,55.35
iPhone6,16GB,AT&T,Fair,47.05
iPhone6,16GB,AT&T,Broken,27.67
iPhone6,16GB,T-Mobile,New,66.89
iPhone6,16GB,T-Mobile,Like_new,56.72
iPhone6,16GB,T-Mobile,Good,53.51
iPhone6,16GB,T-Mobile,Fair,45.48
iPhone6,16GB,T-Mobile,Broken,26.75
iPhone6,16GB,Sprint,New,64.22
iPhone6,16GB,Sprint,Like_new,54.46
iPhone6,16GB,Sprint,Good,51.38
iPhone6,16GB,Sprint,Fair,43.67
iPhone6,16GB,Sprint,Broken,25.69
iPhone6,16GB,Other,New,35.96
iPhone6,16GB,Other,Like_new,30.49
iPhone6,16GB,Other,Good,28.77
iPhone6,16GB,Other,Fair,24.45
iPhone6,16GB,Other,Broken,14.38
iPhone6,32GB,Unlocked,New,64.64
iPhone6,32GB,Unlocked,Like_new,54.81
iPhone6,32GB,Unlocked,Good,51.71
iPhone6,32GB,Unlocked,Fair,43.95
iPhone6,32GB,Unlocked,Broken,25.85
iPhone6,32GB,Verizon,New,64.64
iPhone6,32GB,Verizon,Like_new,54.81
iPhone6,32GB,Verizon,Good,51.71
iPhone6,32GB,Verizon,Fair,43.95
iPhone6,32GB,Verizon,Broken,25.85
iPhone6,32GB,AT&T,New,62.18
iPhone6,32GB,AT&T,Like_new,52.73
iPhone6,32GB,AT&T,Good,49.74
iPhone6,32GB,AT&T,Fair,42.28
iPhone6,32GB,AT&T,Broken,24.87
iPhone6,32GB,T-Mobile,New,60.11
iPhone6,32GB,T-Mobile,Like_new,50.97
iPhone6,32GB,T-Mobile,Good,48.09
iPhone6,32GB,T-Mobile,Fair,40.88
iPhone6,32GB,T-Mobile,Broken,24.04
iPhone6,32GB,Sprint,New,57.72
iPhone6,32GB,Sprint,Like_new,48.95
iPhone6,32GB,Sprint,Good,46.18
iPhone6,32GB,Sprint,Fair,39.25
iPhone6,32GB,Sprint,Broken,23.09
iPhone6,32GB,Other,New,32.32
iPhone6,32GB,Other,Like_new,27.41
iPhone6,32GB,Other,Good,25.85
iPhone6,32GB,Other,Fair,21.98
iPhone6,32GB,Other,Broken,12.93
iPhone6,64GB,Unlocked,New,81.37
iPhone6,64GB,Unlocked,Like_new,69.0
iPhone6,64GB,Unlocked,Good,65.1
iPhone6,64GB,Unlocked,Fair,55.33
iPhone6,64GB,Unlocked,Broken,32.55
iPhone6,64GB,Verizon,New,81.37
iPhone6,64GB,Verizon,Like_new,69.0
iPhone6,64GB,Verizon,Good,65.1
iPhone6,64GB,Verizon,Fair,55.33
iPhone6,64GB,Verizon,Broken,32.55
iPhone6,64GB,AT&T,New,78.28
iPhone6,64GB,AT&T,Like_new,66.38
iPhone6,64GB,AT&T,Good,62.62
iPhone6,64GB,AT&T,Fair,53.23
iPhone6,64GB,AT&T,Broken,31.31
iPhone6,64GB,T-Mobile,New,75.68
iPhone6,64GB,T-Mobile,Like_new,64.17
iPhone6,64GB,T-Mobile,Good,60.54
iPhone6,64GB,T-Mobile,Fair,51.46
iPhone6,64GB,T-Mobile,Broken,30.27
iPhone6,64GB,Sprint,New,72.66
iPhone6,64GB,Sprint,Like_new,61.62
iPhone6,64GB,Sprint,Good,58.13
iPhone6,64GB,Sprint,Fair,49.41
iPhone6,64GB,Sprint,Broken,29.07
iPhone6,64GB,Other,New,40.69
iPhone6,64GB,Other,Like_new,34.5
iPhone6,64GB,Other,Good,32.55
iPhone6,64GB,Other,Fair,27.67
iPhone6,64GB,Other,Broken,16.27
iPhone6,128GB,Unlocked,New,93.04
iPhone6,128GB,Unlocked,Like_new,78.9
iPhone6,128GB,Unlocked,Good,74.43
iPhone6,128GB,Unlocked,Fair,63.27
iPhone6,128GB,Unlocked,Broken,37.22
iPhone6,128GB,Verizon,New,93.04
iPhone6,128GB,Verizon,Like_new,78.9
iPhone6,128GB,Verizon,Good,74.43
iPhone6,128GB,Verizon,Fair,63.27
iPhone6,128GB,Verizon,Broken,37.22
iPhone6,128GB,AT&T,New,89.5
iPhone6,128GB,AT&T,Like_new,75.9
iPhone6,128GB,AT&T,Good,71.6
iPhone6,128GB,AT&T,Fair,60.86
iPhone6,128GB,AT&T,Broken,35.8
iPhone6,128GB,T-Mobile,New,86.53
iPhone6,128GB,T-Mobile,Like_new,73.37
iPhone6,128GB,T-Mobile,Good,69.22
iPhone6,128GB,T-Mobile,Fair,58.84
iPhone6,128GB,T-Mobile,Broken,34.61
iPhone6,128GB,Sprint,New,83.08
iPhone6,128GB,Sprint,Like_new,70.46
iPhone6,128GB,Sprint,Good,66.47
iPhone6,128GB,Sprint,Fair,56.5
iPhone6,128GB,Sprint,Broken,33.23
iPhone6,128GB,Other,New,46.52
iPhone6,128GB,Other,Like_new,39.45
iPhone6,128GB,Other,Good,37.22
iPhone6,128GB,Other,Fair,31.63
iPhone6,128GB,Other,Broken,18.61
iPhone6Plus,16GB,Unlocked,New,103.74
iPhone6Plus,16GB,Unlocked,Like_new,87.97
iPhone6Plus,16GB,Unlocked,Good,82.99
iPhone6Plus,16GB,Unlocked,Fair,70.54
iPhone6Plus,16GB,Unlocked,Broken,41.5
iPhone6Plus,16GB,Verizon,New,103.74
iPhone6Plus,16GB,Verizon,Like_new,87.97
iPhone6Plus,16GB,Verizon,Good,82.99
iPhone6Plus,16GB,Verizon,Fair,70.54
iPhone6Plus,16GB,Verizon,Broken,41.5
iPhone6Plus,16GB,AT&T,New,99.8
iPhone6Plus,16GB,AT&T,Like_new,84.63
iPhone6Plus,16GB,AT&T,Good,79.84
iPhone6Plus,16GB,AT&T,Fair,67.86
iPhone6Plus,16GB,AT&T,Broken,39.92
iPhone6Plus,16GB,T-Mobile,New,96.48
iPhone6Plus,16GB,T-Mobile,Like_new,81.81
iPhone6Plus,16GB,T-Mobile,Good,77.18
iPhone6Plus,16GB,T-Mobile,Fair,65.61
iPhone6Plus,16GB,T-Mobile,Broken,38.59
iPhone6Plus,16GB,Sprint,New,92.64
iPhone6Plus,16GB,Sprint,Like_new,78.56
iPhone6Plus,16GB,Sprint,Good,74.11
iPhone6Plus,16GB,Sprint,Fair,63.0
iPhone6Plus,16GB,Sprint,Broken,37.06
iPhone6Plus,16GB,Other,New,51.87
iPhone6Plus,16GB,Other,Like_new,43.99
iPhone6Plus,16GB,Other,Good,41.5
iPhone6Plus,16GB,Other,Fair,35.27
iPhone6Plus,16GB,Other,Broken,20.75
iPhone6Plus,32GB,Unlocked,New,96.24
iPhone6Plus,32GB,Unlocked,Like_new,81.61
iPhone6Plus,32GB,Unlocked,Good,76.99
iPhone6Plus,32GB,Unlocked,Fair,65.44
iPhone6Plus,32GB,Unlocked,Broken,38.5
iPhone6Plus,32GB,Verizon,New,96.24
iPhone6Plus,32GB,Verizon,Like_new,81.61
iPhone6Plus,32GB,Verizon,Good,76.99
iPhone6Plus,32GB,Verizon,Fair,65.44
iPhone6Plus,32GB,Verizon,Broken,38.5
iPhone6Plus,32GB,AT&T,New,92.58
iPhone6Plus,32GB,AT&T,Like_new,78.51
iPhone6Plus,32GB,AT&T,Good,74.07
iPhone6Plus,32GB,AT&T,Fair,62.96
iPhone6Plus,32GB,AT&T,Broken,37.03
iPhone6Plus,32GB,T-Mobile,New,89.5
iPhone6Plus,32GB,T-Mobile,Like_new,75.9
iPhone6Plus,32GB,T-Mobile,Good,71.6
iPhone6Plus,32GB,T-Mobile,Fair,60.86
iPhone6Plus,32GB,T-Mobile,Broken,35.8
iPhone6Plus,32GB,Sprint,New,85.94
iPhone6Plus,32GB,Sprint,Like_new,72.88
iPhone6Plus,32GB,Sprint,Good,68.75
iPhone6Plus,32GB,Sprint,Fair,58.44
iPhone6Plus,32GB,Sprint,Broken,34.38
iPhone6Plus,32GB,Other,New,48.12
iPhone6Plus,32GB,Other,Like_new,40.81
iPhone6Plus,32GB,Other,Good,38.5
iPhone6Plus,32GB,Other,Fair,32.72
iPhone6Plus,32GB,Other,Broken,19.25
iPhone6Plus,64GB,Unlocked,New,117.77
iPhone6Plus,64GB,Unlocked,Like_new,99.87
iPhone6Plus,64GB,Unlocked,Good,94.21
iPhone6Plus,64GB,Unlocked,Fair,80.08
iPhone6Plus,64GB,Unlocked,Broken,47.11
iPhone6Plus,64GB,Verizon,New,117.77
iPhone6Plus,64GB,Verizon,Like_new,99.87
iPhone6Plus,64GB,Verizon,Good,94.21
iPhone6Plus,64GB,Verizon,Fair,80.08
iPhone6Plus,64GB,Verizon,Broken,47.11
iPhone6Plus,64GB,AT&T,New,113.29
iPhone6Plus,64GB,AT&T,Like_new,96.07
iPhone6Plus,64GB,AT&T,Good,90.63
iPhone6Plus,64GB,AT&T,Fair,77.04
iPhone6Plus,64GB,AT&T,Broken,45.32
iPhone6Plus,64GB,T-Mobile,New,109.52
iPhone6Plus,64GB,T-Mobile,Like_new,92.87
iPhone6Plus,64GB,T-Mobile,Good,87.62
iPhone6Plus,64GB,T-Mobile,Fair,74.48
iPhone6Plus,64GB,T-Mobile,Broken,43.81
iPhone6Plus,64GB,Sprint,New,105.16
iPhone6Plus,64GB,Sprint,Like_new,89.18
iPhone6Plus,64GB,Sprint,Good,84.13
iPhone6Plus,64GB,Sprint,Fair,71.51
iPhone6Plus,64GB,Sprint,Broken,42.07
iPhone6Plus,64GB,Other,New,58.88
iPhone6Plus,64GB,Other,Like_new,49.93
iPhone6Plus,64GB,Other,Good,47.11
iPhone6Plus,64GB,Other,Fair,40.04
iPhone6Plus,64GB,Other,Broken,23.55
iPhone6Plus,128GB,Unlocked,New,124.28
iPhone6Plus,128GB,Unlocked,Like_new,105.39
iPhone6Plus,128GB,Unlocked,Good,99.42
iPhone6Plus,128GB,Unlocked,Fair,84.51
iPhone6Plus,128GB,Unlocked,Broken,49.71
iPhone6Plus,128GB,Verizon,New,124.28
iPhone6Plus,128GB,Verizon,Like_new,105.39
iPhone6Plus,128GB,Verizon,Good,99.42
iPhone6Plus,128GB,Verizon,Fair,84.51
iPhone6Plus,128GB,Verizon,Broken,49.71
iPhone6Plus,128GB,AT&T,New,119.56
iPhone6Plus,128GB,AT&T,Like_new,101.38
iPhone6Plus,128GB,AT&T,Good,95.64
iPhone6Plus,128GB,AT&T,Fair,81.3
iPhone6Plus,128GB,AT&T,Broken,47.82
iPhone6Plus,128GB,T-Mobile,New,115.58
iPhone6Plus,128GB,T-Mobile,Like_new,98.01
iPhone6Plus,128GB,T-Mobile,Good,92.46
iPhone6Plus,128GB,T-Mobile,Fair,78.59
iPhone6Plus,128GB,T-Mobile,Broken,46.23
iPhone6Plus,128GB,Sprint,New,110.98
iPhone6Plus,128GB,Sprint,Like_new,94.11
iPhone6Plus,128GB,Sprint,Good,88.78
iPhone6Plus,128GB,Sprint,Fair,75.47
iPhone6Plus,128GB,Sprint,Broken,44.39
iPhone6Plus,128GB,Other,New,62.14
iPhone6Plus,128GB,Other,Like_new,52.69
iPhone6Plus,128GB,Other,Good,49.71
iPhone6Plus,128GB,Other,Fair,42.25
iPhone6Plus,128GB,Other,Broken,24.86
iPhone6S,16GB,Unlocked,New,86.66
iPhone6S,16GB,Unlocked,Like_new,73.49
iPhone6S,16GB,Unlocked,Good,69.33
iPhone6S,16GB,Unlocked,Fair,58.93
iPhone6S,16GB,Unlocked,Broken,34.66
iPhone6S,16GB,Verizon,New,86.66
iPhone6S,16GB,Verizon,Like_new,73.49
iPhone6S,16GB,Verizon,Good,69.33
iPhone6S,16GB,Verizon,Fair,58.93
iPhone6S,16GB,Verizon,Broken,34.66
iPhone6S,16GB,AT&T,New,83.37
iPhone6S,16GB,AT&T,Like_new,70.7
iPhone6S,16GB,AT&T,Good,66.69
iPhone6S,16GB,AT&T,Fair,56.69
iPhone6S,16GB,AT&T,Broken,33.35
iPhone6S,16GB,T-Mobile,New,80.59
iPhone6S,16GB,T-Mobile,Like_new,68.34
iPhone6S,16GB,T-Mobile,Good,64.48
iPhone6S,16GB,T-Mobile,Fair,54.8
iPhone6S,16GB,T-Mobile,Broken,32.24
iPhone6S,16GB,Sprint,New,77.39
iPhone6S,16GB,Sprint,Like_new,65.62
iPhone6S,16GB,Sprint,Good,61.91
iPhone6S,16GB,Sprint,Fair,52.62
iPhone6S,16GB,Sprint,Broken,30.96
iPhone6S,16GB,Other,New,43.33
iPhone6S,16GB,Other,Like_new,36.74
iPhone6S,16GB,Other,Good,34.66
iPhone6S,16GB,Other,Fair,29.46
iPhone6S,16GB,Other,Broken,17.33
iPhone6S,32GB,Unlocked,New,101.59
iPhone6S,32GB,Unlocked,Like_new,86.15
iPhone6S,32GB,Unlocked,Good,81.27
iPhone6S,32GB,Unlocked,Fair,69.08
iPhone6S,32GB,Unlocked,Broken,40.64
iPhone6S,32GB,Verizon,New,101.59
iPhone6S,32GB,Verizon,Like_new,86.15
iPhone6S,32GB,Verizon,Good,81.27
iPhone6S,32GB,Verizon,Fair,69.08
iPhone6S,32GB,Verizon,Broken,40.64
iPhone6S,32GB,AT&T,New,97.73
iPhone6S,32GB,AT&T,Like_new,82.88
iPhone6S,32GB,AT&T,Good,78.19
iPhone6S,32GB,AT&T,Fair,66.46
iPhone6S,32GB,AT&T,Broken,39.09
iPhone6S,32GB,T-Mobile,New,94.48
iPhone6S,32GB,T-Mobile,Like_new,80.12
iPhone6S,32GB,T-Mobile,Good,75.59
iPhone6S,32GB,T-Mobile,Fair,64.25
iPhone6S,32GB,T-Mobile,Broken,37.79
iPhone6S,32GB,Sprint,New,90.72
iPhone6S,32GB,Sprint,Like_new,76.93
iPhone6S,32GB,Sprint,Good,72.58
iPhone6S,32GB,Sprint,Fair,61.69
iPhone6S,32GB,Sprint,Broken,36.29
iPhone6S,32GB,Other,New,50.8
iPhone6S,32GB,Other,Like_new,43.08
iPhone6S,32GB,Other,Good,40.64
iPhone6S,32GB,Other,Fair,34.54
iPhone6S,32GB,Other,Broken,20.32
iPhone6S,64GB,Unlocked,New,110.2
iPhone6S,64GB,Unlocked,Like_new,93.45
iPhone6S,64GB,Unlocked,Good,88.16
iPhone6S,64GB,Unlocked,Fair,74.93
iPhone6S,64GB,Unlocked,Broken,44.08
iPhone6S,64GB,Verizon,New,110.2
iPhone6S,64GB,Verizon,Like_new,93.45
iPhone6S,64GB,Verizon,Good,88.16
iPhone6S,64GB,Verizon,Fair,74.93
iPhone6S,64GB,Verizon,Broken,44.08
iPhone6S,64GB,AT&T,New,106.01
iPhone6S,64GB,AT&T,Like_new,89.9
iPhone6S,64GB,AT&T,Good,84.81
iPhone6S,64GB,AT&T,Fair,72.09
iPhone6S,64GB,AT&T,Broken,42.4
iPhone6S,64GB,T-Mobile,New,102.48
iPhone6S,64GB,T-Mobile,Like_new,86.91
iPhone6S,64GB,T-Mobile,Good,81.99
iPhone6S,64GB,T-Mobile,Fair,69.69
iPhone6S,64GB,T-Mobile,Broken,40.99
iPhone6S,64GB,Sprint,New,98.41
iPhone6S,64GB,Sprint,Like_new,83.45
iPhone6S,64GB,Sprint,Good,78.73
iPhone6S,64GB,Sprint,Fair,66.92
iPhone6S,64GB,Sprint,Broken,39.36
iPhone6S,64GB,Other,New,55.1
